leftElbow_x,leftElbow_y,leftHip_x,leftHip_y,leftShoulder_x,leftShoulder_y,leftWrist_x,leftWrist_y,ms_since_last_frame,ms_since_start,rightElbow_x,rightElbow_y,rightHip_x,rightHip_y,rightShoulder_x,rightShoulder_y,rightWrist_x,rightWrist_y
286.9501647,82.92722872,246.6581374,245.4366604,263.1317009,134.2970721,273.1162786,51.19847525,128,40433,185.8638587,196.9234252,208.0072337,245.8429672,200.3143553,145.546541,181.6465832,238.4139336
310.3583174,97.39324821,246.7420033,248.6780084,269.5283002,138.6851489,309.0049984,52.75828216,127,40560,184.2867734,195.7464525,206.0723055,247.5013725,198.9736526,146.7796448,179.7385823,238.3331078
312.8381,114.8124641,253.0646513,260.2825276,273.8114431,138.4915004,333.1527791,74.03772293,123,40683,182.950439,195.7579499,205.7741271,247.3531426,197.888067,147.5915231,179.7221538,245.5831791
321.697446,137.1747391,245.4455113,251.0612368,273.2230448,141.0002799,350.9988865,112.7413278,125,40808,182.8961109,197.6141189,203.7691362,249.7104235,196.1633366,148.8267301,175.8367645,242.3426769
316.8310595,171.9678286,246.686726,249.447527,268.6514226,150.7613669,375.3616738,165.2694094,126,40934,183.7008659,200.4198974,205.0909149,251.8299923,198.5577117,152.1736615,176.9123237,245.1972736
299.2708679,194.5936492,250.1364192,253.4098475,261.774169,153.4964608,341.3587235,210.7287736,132,41066,183.1457414,203.5355192,207.6734293,251.884651,199.2256557,152.5885414,177.1496342,245.3492186
283.0089984,201.7397576,249.8262773,251.7122965,260.8504474,154.7011368,304.5665273,233.6906754,120,41186,185.8731468,203.3225226,206.236754,248.72457,201.1114891,154.7094132,179.6188929,249.7910436
281.5459711,210.3473575,250.9533975,251.5385182,262.0794767,158.3069323,288.7424135,256.0398619,129,41315,186.7462472,204.764394,209.9439966,254.078828,203.635351,154.7919544,181.0980678,249.4213091
275.2460559,207.9654944,249.9657402,253.1661604,262.6325058,158.1550582,274.9282675,257.2211003,127,41442,186.5793887,202.506135,211.3024959,253.3066116,204.4314988,154.9847344,181.1075092,248.6939747
275.0679959,208.7289744,248.6817017,254.6803616,263.0711154,155.6561332,269.8336235,255.7564374,125,41567,189.4821843,206.1432054,207.4338529,251.3036496,205.6821464,154.4961169,181.9359789,247.9160844
277.7431061,208.0252774,249.7370445,254.9233889,263.2875733,156.3252428,272.8786042,254.2516493,131,41698,189.4327364,206.2062547,207.8157201,251.7507071,206.3557519,154.7575,181.8439866,248.5991004
276.5741566,208.0826465,249.0088882,255.1351812,263.6540914,156.700958,272.62757,254.6457821,123,41821,188.9047478,207.1940791,208.425692,251.7205892,205.6291486,154.9482815,183.5326825,253.8084379
277.7629191,208.7748098,249.3325073,255.7728765,263.4534517,156.7539267,272.7902837,256.2811909,128,41949,189.2147142,202.8199621,209.3109584,251.3752627,205.602294,155.5788966,184.4909385,248.1881556
277.3178441,209.2695065,249.2935039,255.1864691,263.0789856,157.2994596,273.4636528,255.5254492,124,42073,189.2970935,203.1224478,208.9323648,252.189375,205.5058195,155.5749975,183.234565,249.4516827
277.3489898,208.9730968,249.3082819,255.8050882,262.5000534,156.9412009,273.0114495,256.471922,146,42219,189.2424686,204.0202983,209.0394742,252.8113293,205.5558133,155.9724157,184.218733,248.225417
277.9184753,209.0078196,249.7250674,255.1966429,262.5385885,157.1928732,272.9706013,257.5339891,209,42428,187.5646859,205.9815322,210.6263595,251.4711691,207.0707351,155.3938334,185.1304671,255.5605813
276.138487,209.5557758,248.9984617,255.691373,262.2744597,157.816805,273.2665312,258.3120423,129,42557,187.9404808,204.6447743,208.0876722,253.3253099,205.3295502,155.1881265,181.8848134,249.7476929
277.0719999,209.155916,248.6322689,255.1068699,262.051133,156.9256719,273.283902,257.1730123,130,42687,189.663538,206.4069958,209.4394002,251.0885617,204.543895,155.0366234,182.5258003,249.2517329
275.7878627,208.4431238,248.949897,255.0229472,262.4476692,156.7040712,273.103864,256.7195705,125,42812,189.2465204,206.9357347,209.7889803,250.8771873,204.9520089,155.3273648,181.6634946,249.6121933
275.229412,209.3108714,248.3673946,254.526419,262.2050917,157.6242812,271.0419177,257.4481152,129,42941,188.4475064,206.9212935,209.5481156,250.1827867,203.8035749,155.4029195,182.5931357,254.8859215
274.242289,210.1770421,247.2043923,255.6236936,261.8195717,157.9599702,270.0243646,257.8921444,127,43068,188.7133332,209.4448219,208.1515713,253.8302639,203.0850924,155.6506213,182.3071196,256.0953381
274.3673666,209.9314719,247.1422192,256.0846006,262.0889392,158.0548723,270.0550882,257.4125644,128,43196,188.4421112,209.2027923,208.5605498,251.4687858,202.6939671,155.6524512,182.3180242,256.0604071
273.9232613,210.6013386,246.9049412,256.7940263,261.4013289,157.854125,269.431447,258.0006653,128,43324,188.1981857,206.8985186,208.3179334,251.1357595,203.0072167,155.618935,181.4374722,254.0974147
273.485581,210.5008916,246.5774344,256.8544082,261.4802661,157.5383943,269.859044,257.1150017,123,43447,188.0355513,205.6559198,208.5397039,250.8261174,203.0112026,155.1181061,179.2182765,249.2937999
273.6912354,210.157153,247.1199497,258.899345,261.9238828,156.8833329,270.1015838,256.5932261,128,43575,187.9836516,206.2519364,207.7061806,251.996123,202.4086237,155.1885484,178.7967034,250.8481079
273.1383346,208.0324713,246.8395494,255.3996224,261.32328,155.7075123,270.3903974,255.0963405,124,43699,188.1253469,204.8075184,208.8048531,249.477056,202.8006054,153.9174739,180.1218853,248.297035
273.383441,209.1048916,248.0845589,255.0668608,261.3907502,154.7625781,269.4516285,255.5442028,120,43819,187.80221,204.2632084,208.9483537,250.2517852,202.9605467,153.2127001,179.435066,248.8607815
275.3630163,206.0041471,246.6552342,255.7679841,261.681353,155.2505375,268.7530777,256.7468636,124,43943,187.4663092,205.3818793,208.8845404,250.68128,201.98837,153.5147978,179.434351,249.9172545
274.4129535,207.364802,246.955052,255.4179643,262.689855,154.6794362,270.4466983,256.2043632,124,44067,187.5481581,204.9403365,208.1260742,251.2863034,202.0447603,153.1484562,180.4347545,249.2832013
275.1460282,204.4431531,246.6548205,254.774483,261.704257,153.2748287,269.314777,255.873431,127,44194,186.8099146,204.3653333,207.09541,252.2280145,200.1684182,152.845415,180.0823622,249.2409632
272.7993653,206.7612151,246.2548438,254.5234493,261.9383086,152.6561024,268.8287696,254.8544588,126,44320,187.5057577,204.7984387,206.5812015,251.0272108,202.1585043,153.2629586,181.641169,247.7360985
268.0290016,203.0654463,245.1363867,253.1549351,262.8941074,153.4663511,254.1567483,254.7461057,127,44447,187.6069949,202.6638662,205.6621889,250.9353583,201.3517377,149.6827339,176.0172369,249.7498042
263.8326249,201.9516718,246.711702,254.7708962,261.7481367,150.3535499,224.9006811,230.8901747,125,44572,186.2136618,202.8341235,207.0217825,250.8659135,201.7155525,149.6705592,184.4904487,248.1451373
257.9371024,188.8452703,250.8968606,253.1830407,260.0658745,151.0715596,238.6344189,166.7546701,128,44700,185.3619158,201.1131524,211.5625437,247.9999105,203.3403602,151.4709543,199.7280714,186.3234549
263.0703857,167.3112168,249.5765115,249.6193314,265.8447104,143.9466835,254.9730043,173.77488,125,44825,183.2135115,201.4983121,207.9723036,249.1813552,213.9694351,149.2886428,178.4412682,246.7011307
266.326506,104.6344798,250.9199293,250.8564967,259.0689162,136.9059911,243.7334703,70.59107078,130,44955,186.7179089,202.2422587,209.044854,252.5008783,201.6679953,152.3274945,183.193191,247.719865
281.0062916,91.88326581,250.5822438,250.2053401,263.1904347,137.5688142,266.7967584,57.72108628,154,45109,186.4463227,203.4899838,209.3706385,252.2369401,203.6250398,152.3868276,181.0412921,248.3426533
305.4918543,100.7749684,244.8685235,257.2467856,268.192749,138.1527608,300.4187999,60.57330664,208,45317,185.8569878,204.9278356,206.3672037,254.5634641,202.9111503,153.8591041,181.8132994,248.3366004
322.3099937,134.3071722,247.2096507,257.2781318,276.3563145,148.8450077,356.4889308,113.6087904,128,45445,183.6190464,205.0145167,208.0697616,252.058989,197.876391,155.0092337,179.364739,250.0813636
314.7762408,166.4301555,247.5282575,256.105553,275.2192554,155.8163452,352.5423766,150.3213591,122,45567,183.4345879,205.3844601,210.4532848,253.5974056,195.3347544,155.1453533,179.1853539,250.1848063
304.5975938,184.5952777,251.0544633,253.7034333,266.8672378,155.5437233,372.8824589,185.9791572,123,45690,183.1959028,203.8321835,210.6826985,253.9482969,196.7695759,155.4979351,179.8809651,248.8115992
295.5991799,194.6048074,249.868228,250.7216528,265.3101687,155.6366233,330.6225489,215.9680607,131,45821,183.7701032,201.9258505,211.1481466,249.9028634,202.4021932,155.0770691,176.9464225,247.3025915
281.9496037,197.2467896,248.31607,250.4497713,259.1363817,152.5544463,306.5459914,226.0795448,123,45944,184.016123,202.4646502,208.8701365,252.8342431,199.7506188,152.6210196,177.5604102,246.8795103
278.6142615,203.9213626,250.2620634,249.6417035,261.8405868,153.1280826,287.3961658,240.775347,123,46067,185.0856791,202.0165122,205.7101487,245.3411702,200.1071968,153.3319249,178.6498441,245.665183
274.5776503,206.6760067,249.9410938,249.1795178,261.2318953,153.2658225,279.8110857,256.6681772,133,46200,186.5190088,202.4570696,208.3855238,249.4219599,200.4379022,153.0817905,179.7209139,248.0227091
274.1808857,204.5568712,245.6033683,253.432561,262.979198,154.1085788,270.0946174,254.569782,125,46325,185.7928661,197.1330077,207.4124202,247.9161267,201.6503388,151.9502394,182.2056296,247.8933473
272.5795683,205.5069663,244.6487015,252.6502608,262.6997606,153.1822313,267.2548516,255.8904432,129,46454,186.6871777,203.4168372,206.5303319,247.4699155,203.0796413,148.9442699,182.3458417,247.806599
275.0257096,204.1531011,244.6624772,251.7508342,261.8347451,152.4212065,267.0777351,256.2486848,124,46578,187.4526294,201.3233991,206.5719556,246.6684527,203.5966981,147.5874608,179.2054599,243.7107301
273.038887,202.9863829,245.4118317,250.606557,262.3933447,151.5370824,267.9939873,255.1895435,128,46706,187.8044519,199.1197708,206.214118,245.8369462,203.366063,146.4509485,177.432933,240.9741064
272.9632139,202.3938506,244.7316863,250.5462103,262.9446824,151.7421133,267.3601437,256.3502464,128,46834,187.7883087,200.5994084,205.2469892,245.9617609,202.8710581,148.0144957,177.3272287,245.2196071
272.7252732,202.1076597,244.5012196,250.2776977,262.4893205,151.6519437,267.4316143,255.4338915,131,46965,187.8352048,199.5750995,205.5949738,246.0753287,202.4689061,146.7930527,177.3607901,243.5628463
272.1017359,202.0301675,244.6550109,250.3227867,262.9511356,151.4097655,267.692007,254.7422155,128,47093,187.3474896,199.341396,207.2073089,246.5876786,202.2702051,147.2228569,177.6655688,241.6664976
271.9828906,202.0728008,244.1671397,249.7972658,262.5875895,151.1578489,266.6040379,254.7827822,129,47222,187.3402364,199.4472506,206.1962105,244.9959594,201.6471397,145.8894052,178.9725873,242.4562312
272.9235605,202.0283499,244.1296481,248.5127956,262.7049733,150.0902096,267.237287,256.2020059,126,47348,188.1660132,196.5564747,205.744344,244.5489263,203.1901943,144.1853466,183.1387301,242.8438438
274.3690479,202.9075789,245.7099597,249.5591725,264.1075871,149.9130062,268.1049644,257.4643536,123,47471,188.1411731,198.3113011,207.2408815,245.7130161,203.4491744,145.5505721,180.9413159,242.9356629
274.7996189,203.7101223,247.1426479,248.8969725,264.9189811,150.1464559,269.5378592,255.6854253,126,47597,188.4926765,199.1039812,208.8002925,245.0883902,204.5880855,145.8876988,180.6986469,244.7200077
274.7211616,203.1687459,248.635689,251.5172729,264.2990715,152.2779949,269.8075496,256.0749317,130,47727,189.114731,201.6716803,207.4471245,246.7452047,204.977294,148.9398894,184.0941881,247.2998139
276.6655053,206.3422103,248.603824,251.234234,261.6819719,154.288293,269.5999018,257.10461,138,47865,189.133929,201.7293885,208.2594983,246.8259063,206.3867074,152.3635627,185.6860109,246.6811227
276.1747236,207.7380797,249.7045603,253.9820774,262.3538884,153.5733922,269.2425887,258.0982797,186,48051,189.8053963,204.0392579,207.8369877,250.0898786,205.8682,153.0498877,185.5492112,246.544916
274.9968454,206.132067,250.1655388,254.6630472,262.8290896,156.4159163,269.9455236,257.833549,125,48176,192.1618608,204.5751232,209.4240289,250.7755597,206.048622,153.7852303,186.3207563,245.9089194
274.8741265,209.1298051,243.1063507,255.618815,261.9167905,155.1241414,255.8879304,256.7264321,123,48299,192.7327724,205.6353418,205.8848187,253.1360906,205.7972681,154.1685381,184.2939001,247.5478436
271.5027649,207.3389607,250.685526,256.0127577,263.0647828,155.9356432,229.3966715,242.6313038,126,48425,192.3785783,206.2680314,207.2927282,256.0970103,205.6973971,154.7500312,181.3167153,248.0837138
259.8887865,205.8626405,251.5657209,253.7874749,263.0176834,155.0681769,226.4745559,200.4196848,127,48552,195.5484001,204.7571128,215.2928234,253.0130825,207.3591391,156.7191904,184.9574956,243.8140535
